,ID,Gender,OnBoardPeakSeason,LeavePeakSeason,Turn,DormAreaCount,SalaryBonusMean,SalaryMean,LastMonthSalaryBonus,LastMonthSalary,LastMonthSalaryPct,LastMonthSalaryBonusPct,WorkOnRestDay,ShiftRatio,LiveDormRatio,WorkHourMean,AgeRange_<=20,AgeRange_21-30,AgeRange_31-40,AreaName_EastChina,AreaName_NorthChina,AreaName_NortheastChina,AreaName_NorthwestChina,AreaName_SouthCentralChina,AreaName_SouthwestChina,OnBoardMonth_01,OnBoardMonth_02,OnBoardMonth_03,OnBoardMonth_04,OnBoardMonth_05,OnBoardMonth_06,OnBoardMonth_07,OnBoardMonth_08,OnBoardMonth_09,OnBoardMonth_10,OnBoardMonth_11,OriRecruitCat_B,OriRecruitCat_C,OriContractCat_B,OriContractCat_C,DormAreaMost_A,DormAreaMost_B,DormAreaMost_C,DormAreaMost_D,DormAreaMost_E,DormAreaMost_F,DormAreaMost_G,DormAreaMost_H,DormAreaMost_I,DormAreaMost_J,DormAreaMost_K,DormAreaMost_L,DormAreaMost_M,DormAreaMost_N,DormAreaMost_O,ShiftCategoryMost_A,ShiftCategoryMost_B,ShiftCategoryMost_C,ShiftCategoryMost_D,ShiftCategoryMost_E,ShiftCategoryMost_F,ShiftCategoryMost_G,TotalDay,Quit
350,10350,1,0,1,0,2,0.109162357,0.870720921,0.098775834,0.554724461,0.370758273,0.760191847,0.333333333,0.454545455,1,11.66037736,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65,1
351,10351,1,0,1,1,1,0.161094972,1.029644201,0.114355619,0.663287515,0.585740348,0.550224888,0.316017316,0.489177489,0.991341991,11.10526316,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,228,1
352,10352,1,0,1,0,2,0.109162357,0.777719994,0.098775834,0.58424192,0.540740079,0.760191847,0.307692308,0.461538462,0.984615385,10.38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,1
353,10353,1,0,1,1,1,0.122145511,0.754214254,0.161094972,1.351431019,1.346407927,1.239808153,0.329411765,0.447058824,0.917647059,11.63157895,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83,1
354,10354,1,0,1,1,3,0.214325903,1.184471556,0.112116253,0.510929233,0.860290116,0.848264518,0.318573186,0.453874539,0.998769988,10.78403756,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,0
355,10355,1,0,1,1,2,0.181868018,1.16339756,0.112116253,0.510929233,0.860290116,0.848264518,0.313653137,0.484624846,0.998769988,11.41940532,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
356,10356,1,0,0,1,1,0.145515188,1.025023627,0.114355619,0.64039458,0.73977647,0.550224888,0.308176101,0.509433962,0.987421384,10.91269841,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,1
357,10357,0,0,1,1,2,0.122145511,1.002630023,0.098775834,0.418005619,0.289041627,0.613152805,0.311827957,0.623655914,0.967741935,11.67532468,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,91,1
358,10358,1,0,1,0,1,0.109162357,0.914877147,0.098775834,0.845695633,0.638752845,0.760191847,0.323076923,0.461538462,0.984615385,11.11538462,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,1
359,10359,1,0,0,1,1,0.145515188,0.995088109,0.114355619,0.631006202,0.770877586,0.550224888,0.319018405,0.398773006,0.981595092,11.03278689,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,158,1
